subdomain,ip,status,http_code,https_code,server
acme-sentry-4a.eng.use1.vn.cloud.tesla.com,N/A         ,DEAD       ,000   ,000   ,N/A         
ai-api-stg.tesla.com                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
acs2-poc.voice.tesla.com                ,N/A         ,DEAD       ,000   ,000   ,N/A         
acme-sentry-4.eng.use1.vn.cloud.tesla.com,N/A         ,DEAD       ,000   ,000   ,N/A         
ai-api.tesla.com                        ,N/A         ,DEAD       ,000   ,000   ,N/A         
api-account-master.tesla.com            ,N/A         ,DEAD       ,000   ,000   ,N/A         
appplayer.tesla.com                     ,N/A         ,DEAD       ,000   ,000   ,N/A         
apf-api.eng.vn.cloud.tesla.com          ,d2fy29hrw9wp94.cloudfront.net.,ALIVE      ,200   ,200   ,CloudFront  
autobidder-eng.powerhub.energy.tesla.com,N/A         ,DEAD       ,000   ,000   ,N/A         
akamai-apigateway-vehicleextinfogw-prdsvc-st.tesla.com,akamai-apigateway-vehicleextinfogw-prdsvc-st.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,000   ,AkamaiGHost 
awsbtest.tesla.com                      ,N/A         ,DEAD       ,000   ,000   ,N/A         
autobidder-preprd.powerhub.energy.tesla.com,energy.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,AkamaiGHost 
bctpay.tesla.com                        ,N/A         ,DEAD       ,000   ,000   ,N/A         
apf-api.prd.vn.cloud.tesla.com          ,d2p1ot6coc1j95.cloudfront.net.,ALIVE      ,200   ,200   ,CloudFront  
chat-staging.bottlerocket.tesla.com     ,N/A         ,DEAD       ,000   ,000   ,N/A         
autobidder.powerhub.energy.tesla.com    ,energy.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,000   ,AkamaiGHost 
citiapiencpoc.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
citiapiencpocV2.tesla.com               ,N/A         ,DEAD       ,000   ,000   ,N/A         
apacvpn2.tesla.com                      ,124.158.21.195,DEAD       ,000   ,000   ,N/A         
apacvpn.tesla.com                       ,8.244.67.215,DEAD       ,000   ,000   ,N/A         
apacvpn1.tesla.com                      ,8.244.131.215,DEAD       ,000   ,000   ,N/A         
apac-cppm.tesla.com                     ,apac-cppm.tesla.com.akadns.net.,DEAD       ,000   ,000   ,N/A         
api.kronos.tesla.com                    ,kronos-api-nlb-9096be9c0c5be87b.elb.us-west-2.amazonaws.com.,DEAD       ,000   ,000   ,N/A         
CitiApiEncProdv4.tesla.com              ,N/A         ,DEAD       ,000   ,000   ,N/A         
CitiApiEncSandboxv4.tesla.com           ,N/A         ,DEAD       ,000   ,000   ,N/A         
CitiApiEncProdv5.tesla.com              ,N/A         ,DEAD       ,000   ,000   ,N/A         
citiapisslpoc.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
citiapisslpocV2.tesla.com               ,N/A         ,DEAD       ,000   ,000   ,N/A         
bettertime-stage.tesla.com              ,bettertime-stage.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,N/A         
ciscoguest.tesla.com                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
billing.tesla.com                       ,billing.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,000   ,AkamaiGHost 
CitiApiSslProdv4.tesla.com              ,N/A         ,DEAD       ,000   ,000   ,N/A         
consul.bottlerocket.tesla.com           ,N/A         ,DEAD       ,000   ,000   ,N/A         
cradlepointtest01.tesla.com             ,N/A         ,DEAD       ,000   ,000   ,N/A         
bettertime.tesla.com                    ,bettertime.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,AkamaiGHost 
cryptopay2.tesla.com                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
cryptopay3.tesla.com                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
cryptopay4.tesla.com                    ,N/A         ,DEAD       ,000   ,000   ,N/A         
cryptopay.tesla.com                     ,N/A         ,DEAD       ,000   ,000   ,N/A         
cssp-dev-teleport-proxy.tesla.com       ,N/A         ,DEAD       ,000   ,000   ,N/A         
cxadmin-apac.tesla.com                  ,N/A         ,DEAD       ,000   ,000   ,N/A         
CitiApiSslProdv5.tesla.com              ,N/A         ,DEAD       ,000   ,000   ,N/A         
cx-apac-stg.tesla.com                   ,N/A         ,DEAD       ,000   ,000   ,N/A         
CitiApiSslSandboxv4.tesla.com           ,N/A         ,DEAD       ,000   ,000   ,N/A         
CitiBankStatementSHA512.tesla.com       ,N/A         ,DEAD       ,000   ,000   ,N/A         
cxengine-apac.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
dev.kronosdb.tesla.com                  ,N/A         ,DEAD       ,000   ,000   ,N/A         
dex.ops.na.vn.cloud.tesla.com           ,npudex-ops-a-5461720c4ea57de3.elb.us-west-2.amazonaws.com.,DEAD       ,000   ,000   ,N/A         
dex.ops.vs-bnc.na.vn.cloud.tesla.com    ,N/A         ,DEAD       ,000   ,000   ,N/A         
cxengine-apac-stg.tesla.com             ,N/A         ,DEAD       ,000   ,000   ,N/A         
dgf.tesla.com                           ,N/A         ,DEAD       ,000   ,000   ,N/A         
dhc.tesla.com                           ,N/A         ,DEAD       ,000   ,000   ,N/A         
cx-apac.tesla.com                       ,cx-apac.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,AkamaiGHost 
click.emails.tesla.com                  ,13.111.48.179,DEAD       ,000   ,000   ,N/A         
cnvpn.tesla.com                         ,103.222.41.215,DEAD       ,000   ,000   ,N/A         
cnvpn1.tesla.com                        ,114.141.176.215,DEAD       ,000   ,000   ,N/A         
cyberbeer.tesla.com                     ,cyberbeer.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,000   ,AkamaiGHost 
digitalassets-stage.tesla.com           ,N/A         ,DEAD       ,000   ,000   ,N/A         
dal11-gpgw1.tesla.com                   ,199.120.56.30,DEAD       ,000   ,404   ,N/A         
diner-api-stage.tesla.com               ,N/A         ,DEAD       ,000   ,000   ,N/A         
diner-api.tesla.com                     ,N/A         ,DEAD       ,000   ,000   ,N/A         
dex.ops.bn.na.vn.cloud.tesla.com        ,npudex.ops.bn-usw2.vn.cloud.tesla.com.,DEAD       ,000   ,403   ,N/A         
digitalassets-learning.tesla.com        ,digitalassets-learning.tesla.com.multicdn.cloudinary.com.,CLIENT_ERR ,404   ,000   ,Cloudinary  
discovery.bottlerocket.tesla.com        ,N/A         ,DEAD       ,000   ,000   ,N/A         
discovery-service.bottlerocket.tesla.com,N/A         ,DEAD       ,000   ,000   ,N/A         
digitalassets-accounts.tesla.com        ,digitalassets-accounts.tesla.com.multicdn.cloudinary.com.,REDIRECT   ,301   ,301   ,Cloudinary  
e382p434p572c.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
doraemon-svc-apac.tesla.com             ,N/A         ,DEAD       ,000   ,000   ,N/A         
digitalassets-contents.tesla.com        ,digitalassets-contents.tesla.com.multicdn.cloudinary.com.,REDIRECT   ,301   ,301   ,Cloudinary  
digitalassets-energy.tesla.com          ,digitalassets-energy.tesla.com.multicdn.cloudinary.com.,REDIRECT   ,301   ,000   ,Cloudinary  
diner-webapp.tesla.com                  ,diner-webapp.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,AkamaiGHost 
diner-webapp-stage.tesla.com            ,diner-webapp-stage.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,AkamaiGHost 
embed-staging.bottlerocket.tesla.com    ,N/A         ,DEAD       ,000   ,000   ,N/A         
employee-teslatequila.tesla.com         ,N/A         ,DEAD       ,000   ,000   ,N/A         
energysupport.tesla.com                 ,N/A         ,DEAD       ,000   ,000   ,N/A         
doraemon-svc-apac-stg.tesla.com         ,N/A         ,DEAD       ,000   ,000   ,N/A         
